"Date","MaerskA","MaerskB","Ambu","Carlsberg","Coloplast","DanskeBank","DSV","FLSmidth","Genmab","GN","JyskeBank","Lundbeck","NovoNordisk","Novozymes","RoyalUnibrew","SimCorp","SydBank","Tryg","Vestas","WilliamDemant","C20index","SP500","TwoYearBond","TenYearBond","OilPrice","GoldFutures","USD","GBP","SEK","NOK","CNY"
2010-01-04,6378.09,6612.85,5.45,393,96.2,111.97,96,389,92,29.7,205,95.05,67.6,113.5,28.4,98.5,136,70.3,66.4,78,347.85,1132.99,2.14,3.67,81.51,1117.7,5.17,8.35,0.73,0.9,0.76
2010-01-05,6378.09,6664.75,5.4,394.85,92.8,115.67,95.95,384.5,89.6,29.3,204.1,96.5,66.78,115.4,27.5,98.1,137.5,68.8,64.38,77,345.14,1136.52,2.12,3.66,81.77,1118.1,5.15,8.26,0.73,0.91,0.75
2010-01-06,6447.42,6730.26,5.65,388,95.2,117.06,100.5,374.9,88.75,28.4,203.4,96.55,67.5,110.6,27.4,99,137.7,68.2,63.58,76.34,346.37,1137.14,2.12,3.69,83.18,1135.9,5.19,8.28,0.73,0.91,0.76
2010-01-07,6655.4,6972.61,5.5,392,96.4,120.76,101,376,88,29.5,210.4,98.5,67.12,114.4,27.9,98.5,138,67.06,64.1,77,351.28,1141.69,2.09,3.67,82.66,1133.1,5.2,8.27,0.73,0.91,0.76
2010-01-08,6849.52,7131.28,5.55,393,96,122.61,101.7,375.9,89,29.5,210.7,99,68,111.6,27.6,97.8,140.5,67.86,63.8,78.02,353.23,1144.98,2.06,3.67,82.75,1138.2,5.21,8.33,0.73,0.91,0.76
2010-01-11,6936.18,7270.77,5.65,400,97.53,125.29,104,375,89.9,29.3,210,104,70,111.2,28.2,100,140,67.74,65.8,78.24,359.54,1146.98,2.02,3.64,82.52,1150.7,5.12,8.28,0.73,0.91,0.75
2010-01-12,6893.71,7265.54,5.62,395,96.5,124.46,102,368,89.6,29.5,209.1,103.2,69.2,112.4,28,99.5,139.7,67.82,63.4,76.44,356.73,1136.22,2.02,3.6,80.79,1128.9,5.14,8.29,0.73,0.91,0.75
2010-01-13,6906.71,7209.74,5.62,395,95.36,123.72,99.5,370,89.4,29.8,207.8,100,69.28,111.4,28,98.6,142.1,66.6,65.4,77.1,356.53,1145.68,1.95,3.57,79.65,1136.4,5.11,8.32,0.73,0.91,0.75
2010-01-14,7054.03,7366.67,5.75,391,95.4,126.78,99.2,379,91.25,30.4,213.3,102,70.2,111.3,28.7,98.8,148.5,67.4,66.8,77.28,361.79,1148.46,1.92,3.61,79.39,1142.6,5.14,8.36,0.73,0.91,0.75
2010-01-15,7152.82,7514.87,5.9,393,96.6,125.39,97.5,375,97.5,30.3,211.5,102,68.7,109.4,28.8,99,146,66.9,66,77.4,359.27,1136.03,1.91,3.56,78,1130.1,5.18,8.45,0.73,0.91,0.76
2010-01-18,7192.69,7537.54,5.9,400,96.8,124.46,98.8,372,104,30.2,208.4,103,68.2,110.5,29.8,97.7,146.6,66.6,65.8,77.8,359.95,,1.86,3.54,,,5.18,8.46,0.73,0.91,0.76
2010-01-19,7244.68,7575.9,5.9,400,96.6,122.61,98.4,375,99.75,30,204.5,102,69.8,111.5,29.85,99,143.5,66.7,65.54,77.78,360.47,1150.23,1.93,3.6,79.02,1139.7,5.21,8.51,0.73,0.91,0.76
2010-01-20,7158.02,7445.13,5.97,394.5,97.86,119.09,97,370.5,99.05,29.7,200.9,103.3,70.8,111.2,28.8,98.8,141.8,67.12,61.7,77.4,356.31,1138.04,1.85,3.54,77.62,1112.3,5.27,8.56,0.74,0.92,0.77
2010-01-21,7048.83,7380.61,5.9,391.5,98.4,117.52,96,360,96,29.2,196,100,68.52,108.6,30,99.9,140.2,67.3,60.8,77.2,349.69,1116.48,1.86,3.58,76.08,1102.7,5.29,8.55,0.73,0.91,0.78
2010-01-22,7019.37,7361.43,5.8,392,97.4,116.97,95,350,99,29.7,198,99.9,68.28,110.4,27.4,97.3,138.7,65.6,59.14,77.18,346.87,1091.76,1.85,3.57,74.54,1089.2,5.27,8.5,0.73,0.91,0.77
2010-01-25,7067.9,7385.85,5.75,398,98.2,117.98,94.3,349,102.5,30.4,197.9,100.8,69.5,110.4,28,97.5,139.6,65.58,60.4,77.36,349.86,1096.78,1.87,3.55,75.26,1095.2,5.26,8.49,0.73,0.91,0.77
2010-01-26,6924.04,7288.2,5.85,392,99.5,115.49,93,342,100.6,30.3,199.4,102,72.6,108.6,27.9,97.6,136.2,65.46,57.8,78.64,348.97,1092.17,1.9,3.56,74.71,1097.9,5.29,8.53,0.72,0.9,0.77
2010-01-27,6785.39,7103.38,5.85,390.4,101.2,115.67,93.95,337,99,31.4,199.5,102.3,73.9,107.6,27.2,98,136.2,65.38,56,81.24,349.61,1097.5,1.88,3.56,73.67,1084.4,5.29,8.58,0.73,0.91,0.78
2010-01-28,6898.05,7253.33,5.88,389,112.56,117.98,94.75,343,98,32.9,199.9,101.9,73.84,110,27.5,97.1,138,65.5,55.8,84,350.95,1084.53,1.91,3.55,73.64,1083.6,5.32,8.64,0.73,0.91,0.78
2010-01-29,7067.9,7370.15,5.85,404,116.4,120.76,96.3,346.6,97.95,33,200.6,100.5,73.3,110.8,27.6,96.3,139.9,65.8,57.8,84.14,354.85,1073.87,1.9,3.57,72.89,1083,5.33,8.59,0.73,0.91,0.78
2010-02-01,7187.49,7485.23,6.3,398.7,119.8,122.15,95,344.8,96.5,33.6,208.9,100.9,74.94,110.2,27.7,99.6,142.1,66.9,57.2,83.9,358.43,1089.19,1.93,3.53,74.43,1104.3,5.35,8.51,0.73,0.91,0.78
2010-02-02,7248.15,7591.59,6.4,397.6,118.4,123.54,95.6,351,95,33.2,216,101.2,73,109.2,28.4,98.9,147.3,66.98,57.2,83.6,358.17,1103.32,1.93,3.56,77.23,1117.4,5.34,8.52,0.74,0.91,0.78
2010-02-03,7263.75,7610.77,6.22,395.7,119.4,119.09,93.75,351.5,99,32.7,209.8,101,76.2,109.7,28.5,98.4,146.5,68.2,57.5,82.7,360.48,1097.28,1.91,3.55,76.98,1111.4,5.32,8.5,0.74,0.91,0.78
2010-02-04,7140.69,7418.97,6.38,388.7,118.3,122.52,91.65,337.5,98.65,32,206.6,100.2,75,108.2,27.9,96.8,145.2,66.64,54.4,83.1,355.92,1063.11,1.86,3.54,73.14,1062.4,5.38,8.53,0.73,0.91,0.79
2010-02-05,6896.31,7221.95,6.15,378,116.9,119.65,89.8,333.9,97.5,31.2,203.9,97.25,75.54,106.7,27.6,97,142,65.9,54.96,81.4,350.75,1066.19,1.78,3.49,71.19,1052.2,5.44,8.53,0.73,0.91,0.8
2010-02-08,6809.65,7166.15,6.25,367,117.4,115.67,89.15,320.8,93.85,30.5,199.3,96.8,75.22,105.3,27.9,94.4,142,65.3,53.96,79.4,345.43,1056.74,1.81,3.52,71.89,1065.7,5.44,8.5,0.73,0.91,0.8
2010-02-09,6873.78,7253.33,6.15,367,119,116.5,86.8,326,93.95,30.6,197.8,97.4,75.06,105.7,28.1,92.3,142.6,64.6,58.18,80.44,348.74,1070.52,1.78,3.52,73.75,1076.7,5.41,8.46,0.74,0.91,0.79
