"Date","Carlsberg","DanskeBank","DSV","OilPrice","SP500"
2010-01-04,393,111.97,96,81.51,1132.99
2010-01-05,394.85,115.67,95.95,81.77,1136.52
2010-01-06,388,117.06,100.5,83.18,1137.14
2010-01-07,392,120.76,101,82.66,1141.69
2010-01-08,393,122.61,101.7,82.75,1144.98
2010-01-11,400,125.29,104,82.52,1146.98
2010-01-12,395,124.46,102,80.79,1136.22
2010-01-13,395,123.72,99.5,79.65,1145.68
2010-01-14,391,126.78,99.2,79.39,1148.46
2010-01-15,393,125.39,97.5,78,1136.03
2010-01-18,400,124.46,98.8,78.51,1143.13
2010-01-19,400,122.61,98.4,79.02,1150.23
2010-01-20,394.5,119.09,97,77.62,1138.04
2010-01-21,391.5,117.52,96,76.08,1116.48
2010-01-22,392,116.97,95,74.54,1091.76
2010-01-25,398,117.98,94.3,75.26,1096.78
2010-01-26,392,115.49,93,74.71,1092.17
2010-01-27,390.4,115.67,93.95,73.67,1097.5
2010-01-28,389,117.98,94.75,73.64,1084.53
2010-01-29,404,120.76,96.3,72.89,1073.87
2010-02-01,398.7,122.15,95,74.43,1089.19
2010-02-02,397.6,123.54,95.6,77.23,1103.32
2010-02-03,395.7,119.09,93.75,76.98,1097.28
2010-02-04,388.7,122.52,91.65,73.14,1063.11
2010-02-05,378,119.65,89.8,71.19,1066.19
2010-02-08,367,115.67,89.15,71.89,1056.74
2010-02-09,367,116.5,86.8,73.75,1070.52
2010-02-10,367.4,119.19,87.6,74.52,1068.13
2010-02-11,375.8,117.24,86.9,75.28,1078.47
2010-02-12,378.2,116.41,85.65,74.13,1075.51
2010-02-15,372.7,115.67,87,75.57,1085.19
2010-02-16,378.8,116.13,87.5,77.01,1094.87
2010-02-17,378.7,116.69,88.95,77.33,1099.51
2010-02-18,377,116.6,89,79.06,1106.75
2010-02-19,388.2,115.86,89,79.81,1109.17
2010-02-22,384.2,116.23,88.6,80.16,1108.01
2010-02-23,415,115.67,86.85,78.86,1094.6
2010-02-24,411.1,116.04,86.45,80,1105.24
2010-02-25,409.4,116.23,84.6,78.17,1102.94
2010-02-26,422.1,115.21,85.05,79.66,1104.49
2010-03-01,428.9,116.6,90.65,78.7,1115.71
2010-03-02,435.6,119.37,92.95,79.68,1118.31
2010-03-03,431.2,121.32,92.9,80.87,1118.79
2010-03-04,427.1,121.32,89.9,80.21,1122.97
2010-03-05,434,123.44,92,81.5,1138.7
2010-03-08,432,123.81,92.05,81.87,1138.5
2010-03-09,438,122.52,91.8,81.49,1140.45
2010-03-10,431.5,124.18,91.85,82.09,1145.61
2010-03-11,433.1,123.54,91.9,82.11,1150.24
2010-03-12,432.5,126.5,93.8,81.24,1149.99
2010-03-15,433,126.04,93.8,79.8,1150.51
