"Date","Genmab","Lundbeck","USD","SP500"
2010-01-04,92,95.05,5.17,1132.99
2010-01-05,89.6,96.5,5.15,1136.52
2010-01-06,88.75,96.55,5.19,1137.14
2010-01-07,88,98.5,5.2,1141.69
2010-01-08,89,99,5.21,1144.98
2010-01-11,89.9,104,5.12,1146.98
2010-01-12,89.6,103.2,5.14,1136.22
2010-01-13,89.4,100,5.11,1145.68
2010-01-14,91.25,102,5.14,1148.46
2010-01-15,97.5,102,5.18,1136.03
2010-01-18,104,103,5.18,1143.13
2010-01-19,99.75,102,5.21,1150.23
2010-01-20,99.05,103.3,5.27,1138.04
2010-01-21,96,100,5.29,1116.48
2010-01-22,99,99.9,5.27,1091.76
2010-01-25,102.5,100.8,5.26,1096.78
2010-01-26,100.6,102,5.29,1092.17
2010-01-27,99,102.3,5.29,1097.5
2010-01-28,98,101.9,5.32,1084.53
2010-01-29,97.95,100.5,5.33,1073.87
2010-02-01,96.5,100.9,5.35,1089.19
2010-02-02,95,101.2,5.34,1103.32
2010-02-03,99,101,5.32,1097.28
2010-02-04,98.65,100.2,5.38,1063.11
2010-02-05,97.5,97.25,5.44,1066.19
2010-02-08,93.85,96.8,5.44,1056.74
2010-02-09,93.95,97.4,5.41,1070.52
2010-02-10,92.75,96.05,5.42,1068.13
2010-02-11,91.45,96.4,5.43,1078.47
2010-02-12,90.75,97,5.49,1075.51
2010-02-15,91,96.25,5.47,1085.19
2010-02-16,92.45,98.2,5.45,1094.87
2010-02-17,95.35,98,5.42,1099.51
2010-02-18,95.9,98.25,5.49,1106.75
2010-02-19,94.65,99,5.51,1109.17
2010-02-22,93.5,99,5.46,1108.01
2010-02-23,90.65,98.75,5.48,1094.6
2010-02-24,91.3,98.8,5.49,1105.24
2010-02-25,90.05,96.8,5.52,1102.94
2010-02-26,91.75,96.5,5.48,1104.49
2010-03-01,91.7,95,5.5,1115.71
2010-03-02,92.2,96.1,5.49,1118.31
2010-03-03,90.55,96,5.46,1118.79
2010-03-04,90.85,97.85,5.45,1122.97
2010-03-05,92.35,97.45,5.48,1138.7
2010-03-08,73.5,98.05,5.45,1138.5
2010-03-09,71.5,96.8,5.49,1140.45
2010-03-10,72.05,96.85,5.47,1145.61
2010-03-11,72.2,98.75,5.45,1150.24
2010-03-12,71.85,99,5.41,1149.99
2010-03-15,72.2,99.5,5.43,1150.51
2010-03-16,71.85,99.55,5.42,1159.46
2010-03-17,71.5,100.4,5.41,1166.21
2010-03-18,71.2,99.55,5.45,1165.83
2010-03-19,71.75,100,5.49,1159.9
2010-03-22,71.75,99.65,5.52,1165.81
2010-03-23,72,102.5,5.5,1174.17
2010-03-24,72.55,103.1,5.58,1167.72
2010-03-25,71.9,102.8,5.57,1165.73
2010-03-26,71.15,102.8,5.57,1166.59
2010-03-29,70.15,103.8,5.52,1173.22
2010-03-30,68.5,104.2,5.52,1173.27
2010-03-31,69.35,103.9,5.52,1169.43
2010-04-06,70.25,103.1,5.56,1189.44
2010-04-07,70.5,103.5,5.58,1182.45
2010-04-08,69.05,102.8,5.6,1186.44
2010-04-09,68.8,102.6,5.56,1194.37
2010-04-12,68.5,103.2,5.48,1196.48
2010-04-13,67.8,102.8,5.48,1197.3
2010-04-14,67.65,102.5,5.47,1210.65
2010-04-15,65.9,103,5.5,1211.67
2010-04-16,67.35,101.2,5.5,1192.13
2010-04-19,66.8,99.85,5.54,1197.52
2010-04-20,69,100,5.52,1207.17
2010-04-22,67.75,96.6,5.58,1208.67
2010-04-23,66.9,97.5,5.59,1217.28
2010-04-26,66.75,96.9,5.59,1212.05
2010-04-27,65.75,95.3,5.6,1183.71
2010-04-28,63,94.3,5.62,1191.36
2010-04-29,61.7,92.1,5.61,1206.78
2010-05-03,61.35,93.5,5.62,1202.26
2010-05-04,58.7,94.7,5.69,1173.6
2010-05-05,57,94.15,5.76,1165.87
2010-05-06,52.45,92.4,5.85,1128.15
2010-05-07,46.5,88.4,5.84,1110.88
2010-05-10,54.45,92.2,5.74,1159.73
2010-05-11,52.45,91.5,5.86,1155.79
2010-05-12,50.05,93.5,5.87,1171.67
2010-05-14,50.05,93.5,5.95,1135.68
2010-05-17,47.23,90.75,6.03,1136.94
2010-05-18,50.5,90.8,5.99,1120.8
2010-05-19,50,88.65,6.06,1115.05
2010-05-20,48.3,87.6,6.03,1071.59
2010-05-21,47.47,86.7,5.96,1087.69
2010-05-25,45.39,84.75,6.09,1074.03
2010-05-26,46.91,85.5,6.04,1067.95
2010-05-27,47.5,87.95,6.07,1103.06
2010-05-28,48.07,88.95,6.01,1089.41
2010-05-31,47.93,89.85,6.04,1080.06
2010-06-01,47.39,87.5,6.12,1070.71
2010-06-02,46.74,88.05,6.09,1098.38
2010-06-03,47.89,89.5,6.07,1102.83
2010-06-04,47.19,89.5,6.17,1064.88
2010-06-07,46.63,88.55,6.22,1050.47
2010-06-08,45.49,86.1,6.23,1062
2010-06-09,43.93,87,6.19,1055.69
2010-06-10,43.26,88.15,6.18,1086.84
2010-06-11,43.71,87.8,6.13,1091.6
2010-06-14,58.15,88.3,6.07,1089.63
2010-06-15,57.4,88.25,6.07,1115.23
2010-06-16,53.85,88.5,6.06,1114.61
2010-06-17,51.3,89.5,6.02,1116.04
2010-06-18,61,88.4,6.01,1117.51
2010-06-21,58.9,88.4,6,1113.2
2010-06-22,58.25,87.95,6.07,1095.31
2010-06-23,58,87.5,6.07,1092.04
2010-06-24,54.6,86.95,6.07,1073.69
2010-06-25,51.65,86.3,6.05,1076.76
2010-06-28,49.87,85.65,6.03,1074.57
2010-06-29,45.88,83.1,6.11,1041.24
2010-06-30,43.45,83.3,6.07,1030.71
2010-07-01,40.91,82.8,6.04,1027.37
2010-07-02,59.65,83.85,5.94,1022.58
2010-07-05,59.6,83.5,5.95,1025.32
2010-07-06,59.9,85.3,5.93,1028.06
2010-07-07,62.4,86.35,5.93,1060.27
2010-07-08,64.6,86.25,5.89,1070.25
2010-07-09,63.7,86.1,5.9,1077.96
2010-07-12,61.25,87.05,5.93,1078.75
2010-07-13,61.95,87,5.93,1095.34
2010-07-14,61.15,87.05,5.86,1095.17
2010-07-15,60.6,88,5.81,1096.48
2010-07-16,59.15,87.05,5.73,1064.88
2010-07-19,57.8,87,5.75,1071.25
2010-07-20,60.1,85.55,5.8,1083.48
2010-07-21,59.5,85.95,5.81,1069.59
2010-07-22,60.35,86.9,5.8,1093.67
2010-07-23,59,85.6,5.78,1102.66
2010-07-26,60,85.25,5.76,1115.01
2010-07-27,59.55,86.45,5.72,1113.84
2010-07-28,60,87.1,5.74,1106.13
2010-07-29,60.3,86.75,5.7,1101.53
2010-07-30,61,87,5.72,1101.6
2010-08-02,62.45,86.65,5.7,1125.86
2010-08-03,62.1,88.7,5.64,1120.46
2010-08-04,62.6,90.05,5.64,1127.24
2010-08-05,62.65,89.9,5.65,1125.81
2010-08-06,62,89.45,5.66,1121.64
2010-08-09,63.05,90.8,5.62,1127.79
2010-08-10,65.95,89.35,5.67,1121.06
2010-08-11,65,89.3,5.72,1089.47
2010-08-12,65.5,89.15,5.83,1083.61
2010-08-13,65.5,89,5.82,1079.25
2010-08-16,67.2,89.25,5.81,1079.38
2010-08-17,67.15,89.65,5.79,1092.54
2010-08-18,61.3,90.15,5.78,1094.16
2010-08-19,60,91.1,5.8,1075.63
2010-08-20,57.45,90.1,5.86,1071.69
2010-08-23,56.6,90.55,5.86,1067.36
2010-08-24,54,89,5.91,1051.87
2010-08-25,51.3,89.05,5.9,1055.33
2010-08-26,53.7,88.4,5.87,1047.22
2010-08-27,57,88.4,5.86,1064.59
2010-08-30,56.5,88.55,5.86,1048.92
2010-08-31,55.65,89.25,5.87,1049.33
2010-09-01,59,89.85,5.82,1080.29
2010-09-02,56.85,89.5,5.81,1090.1
2010-09-03,57,90.6,5.8,1104.51
2010-09-06,57,91.35,5.78,1098.175
2010-09-07,57.3,90.85,5.84,1091.84
2010-09-08,58.25,92.25,5.86,1098.87
2010-09-09,61,94.65,5.86,1104.18
2010-09-10,62.3,95,5.85,1109.55
2010-09-13,65.25,95.15,5.82,1121.9
2010-09-14,63.2,95,5.79,1121.1
2010-09-15,62.5,94.75,5.73,1125.07
2010-09-16,60.05,94.8,5.69,1124.66
2010-09-17,60.75,94.4,5.7,1125.59
2010-09-20,61.45,95,5.7,1142.71
2010-09-21,63.5,95.25,5.68,1139.78
2010-09-22,63,95.8,5.57,1134.28
2010-09-23,62,96.35,5.59,1124.83
2010-09-24,61.8,96.8,5.56,1148.67
2010-09-27,62.6,96.2,5.53,1142.16
2010-09-28,62.15,96.85,5.54,1147.7
2010-09-29,61.75,97.65,5.47,1144.73
2010-09-30,61.6,96.55,5.46,1141.2
2010-10-01,60.95,95.7,5.43,1146.24
2010-10-04,60.55,96.2,5.44,1137.03
2010-10-05,61.3,96.7,5.41,1160.75
2010-10-06,60.85,97,5.38,1159.97
2010-10-07,61.95,98,5.34,1158.06
2010-10-08,61.45,98.9,5.37,1165.15
2010-10-11,61.8,99.6,5.35,1165.32
2010-10-12,62.75,100.1,5.39,1169.77
2010-10-13,67,103.7,5.34,1178.1
2010-10-14,67.5,104.7,5.29,1173.81
2010-10-15,71.45,105.4,5.29,1176.19
2010-10-18,73.5,104.2,5.37,1184.71
2010-10-19,71.15,107.2,5.38,1165.9
2010-10-20,70.7,107.5,5.38,1178.17
2010-10-21,68.8,107.3,5.32,1180.26
2010-10-22,69,106.5,5.35,1183.08
2010-10-25,71,107,5.32,1185.62
2010-10-26,70.85,107.1,5.36,1185.64
2010-10-27,70.65,106.9,5.4,1182.45
2010-10-28,70.9,106.9,5.38,1183.78
2010-10-29,71.1,107,5.38,1183.26
2010-11-01,70.5,108.5,5.35,1184.38
2010-11-02,70.1,107.8,5.32,1193.57
2010-11-03,68.2,103.3,5.32,1197.96
2010-11-04,67.2,102.1,5.23,1221.06
2010-11-05,67,103.6,5.29,1225.85
2010-11-08,66.5,103.9,5.36,1223.25
2010-11-09,68.2,104.8,5.35,1213.4
2010-11-10,66.8,105.9,5.41,1218.71
2010-11-11,65.65,105.3,5.44,1213.54
2010-11-12,66.3,105.5,5.44,1199.21
2010-11-15,66.75,106.2,5.47,1197.75
