"Date","MaerskB","FLSmidth","NovoNordisk","OilPrice","SP500"
2010-01-04,6612.85,389,67.6,81.51,1132.99
2010-01-05,6664.75,384.5,66.78,81.77,1136.52
2010-01-06,6730.26,374.9,67.5,83.18,1137.14
2010-01-07,6972.61,376,67.12,82.66,1141.69
2010-01-08,7131.28,375.9,68,82.75,1144.98
2010-01-11,7270.77,375,70,82.52,1146.98
2010-01-12,7265.54,368,69.2,80.79,1136.22
2010-01-13,7209.74,370,69.28,79.65,1145.68
2010-01-14,7366.67,379,70.2,79.39,1148.46
2010-01-15,7514.87,375,68.7,78,1136.03
2010-01-18,7537.54,372,68.2,78.51,1143.13
2010-01-19,7575.9,375,69.8,79.02,1150.23
2010-01-20,7445.13,370.5,70.8,77.62,1138.04
2010-01-21,7380.61,360,68.52,76.08,1116.48
2010-01-22,7361.43,350,68.28,74.54,1091.76
2010-01-25,7385.85,349,69.5,75.26,1096.78
2010-01-26,7288.2,342,72.6,74.71,1092.17
2010-01-27,7103.38,337,73.9,73.67,1097.5
2010-01-28,7253.33,343,73.84,73.64,1084.53
2010-01-29,7370.15,346.6,73.3,72.89,1073.87
2010-02-01,7485.23,344.8,74.94,74.43,1089.19
2010-02-02,7591.59,351,73,77.23,1103.32
2010-02-03,7610.77,351.5,76.2,76.98,1097.28
2010-02-04,7418.97,337.5,75,73.14,1063.11
2010-02-05,7221.95,333.9,75.54,71.19,1066.19
2010-02-08,7166.15,320.8,75.22,71.89,1056.74
2010-02-09,7253.33,326,75.06,73.75,1070.52
2010-02-10,7296.92,317.8,75,74.52,1068.13
2010-02-11,7342.26,318.1,75.94,75.28,1078.47
2010-02-12,7403.28,310.9,77.38,74.13,1075.51
2010-02-15,7333.54,319.2,78.28,75.57,1085.19
2010-02-16,7359.69,337.7,78.54,77.01,1094.87
2010-02-17,7513.13,343.4,78.6,77.33,1099.51
2010-02-18,7492.2,346,78.98,79.06,1106.75
2010-02-19,7462.56,345.8,79.12,79.81,1109.17
2010-02-22,7565.43,346.5,79.04,80.16,1108.01
2010-02-23,7481.74,339.5,77.8,78.86,1094.6
2010-02-24,7514.87,338.5,78.2,80,1105.24
2010-02-25,7267.28,342.7,77.4,78.17,1102.94
2010-02-26,7289.95,348,77.2,79.66,1104.49
2010-03-01,7525.33,360,79,78.7,1115.71
2010-03-02,7532.31,365.8,79.14,79.68,1118.31
2010-03-03,7635.18,364.9,79.26,80.87,1118.79
2010-03-04,7338.77,356.9,79.58,80.21,1122.97
2010-03-05,7554.97,364.1,80.82,81.5,1138.7
2010-03-08,7457.33,363.3,81.64,81.87,1138.5
2010-03-09,7373.64,365,81.64,81.49,1140.45
2010-03-10,7595.08,375,82.6,82.09,1145.61
2010-03-11,7500.92,380,81.88,82.11,1150.24
2010-03-12,7462.56,378.8,81.68,81.24,1149.99
2010-03-15,7434.67,376.5,81.94,79.8,1150.51
2010-03-16,7450.36,385,83.8,81.7,1159.46
2010-03-17,7410.26,389,84.78,82.93,1166.21
2010-03-18,7392.82,385.9,84.3,82.2,1165.83
2010-03-19,7323.08,378.4,85.46,80.68,1159.9
2010-03-22,7361.43,380,85,81.25,1165.81
2010-03-23,7466.05,388,86.2,81.91,1174.17
2010-03-24,7445.13,386.7,88.98,80.61,1167.72
2010-03-25,7424.2,388.6,88.4,80.53,1165.73
2010-03-26,7288.2,386,87,80,1166.59
2010-03-29,7279.49,384,86.1,82.17,1173.22
2010-03-30,7323.08,382.2,86.12,82.37,1173.27
2010-03-31,7323.08,382.4,85.54,83.76,1169.43
2010-04-06,7453.85,392.6,88.56,86.84,1189.44
2010-04-07,7466.05,393.5,88.9,85.88,1182.45
2010-04-08,7406.77,392,87.5,85.39,1186.44
2010-04-09,7507.9,407.2,86.48,84.92,1194.37
2010-04-12,7565.43,417,86.48,84.34,1196.48
2010-04-13,7413.74,429.3,88.3,84.05,1197.3
2010-04-14,7851.38,434,88.1,85.84,1210.65
2010-04-15,8158.26,434.3,88.8,85.51,1211.67
2010-04-16,8003.08,430,89.1,83.24,1192.13
