"Date","SimCorp","DSV","Genmab","SydBank","WilliamDemant","SP500"
2010-01-04,98.5,96,92,136,78,1132.99
2010-01-05,98.1,95.95,89.6,137.5,77,1136.52
2010-01-06,99,100.5,88.75,137.7,76.34,1137.14
2010-01-07,98.5,101,88,138,77,1141.69
2010-01-08,97.8,101.7,89,140.5,78.02,1144.98
2010-01-11,100,104,89.9,140,78.24,1146.98
2010-01-12,99.5,102,89.6,139.7,76.44,1136.22
2010-01-13,98.6,99.5,89.4,142.1,77.1,1145.68
2010-01-14,98.8,99.2,91.25,148.5,77.28,1148.46
2010-01-15,99,97.5,97.5,146,77.4,1136.03
2010-01-18,97.7,98.8,104,146.6,77.8,1143.13
2010-01-19,99,98.4,99.75,143.5,77.78,1150.23
2010-01-20,98.8,97,99.05,141.8,77.4,1138.04
2010-01-21,99.9,96,96,140.2,77.2,1116.48
2010-01-22,97.3,95,99,138.7,77.18,1091.76
2010-01-25,97.5,94.3,102.5,139.6,77.36,1096.78
2010-01-26,97.6,93,100.6,136.2,78.64,1092.17
2010-01-27,98,93.95,99,136.2,81.24,1097.5
2010-01-28,97.1,94.75,98,138,84,1084.53
2010-01-29,96.3,96.3,97.95,139.9,84.14,1073.87
2010-02-01,99.6,95,96.5,142.1,83.9,1089.19
2010-02-02,98.9,95.6,95,147.3,83.6,1103.32
2010-02-03,98.4,93.75,99,146.5,82.7,1097.28
2010-02-04,96.8,91.65,98.65,145.2,83.1,1063.11
2010-02-05,97,89.8,97.5,142,81.4,1066.19
2010-02-08,94.4,89.15,93.85,142,79.4,1056.74
2010-02-09,92.3,86.8,93.95,142.6,80.44,1070.52
2010-02-10,92.6,87.6,92.75,140.1,78.22,1068.13
2010-02-11,89,86.9,91.45,138.4,78.9,1078.47
2010-02-12,90,85.65,90.75,139.8,78,1075.51
2010-02-15,89.9,87,91,140.3,78.8,1085.19
2010-02-16,89.5,87.5,92.45,140.5,79.2,1094.87
2010-02-17,89.8,88.95,95.35,138.7,78.92,1099.51
2010-02-18,88.6,89,95.9,136.3,79.2,1106.75
2010-02-19,87.1,89,94.65,136.1,79.38,1109.17
2010-02-22,86.3,88.6,93.5,138.7,79.2,1108.01
2010-02-23,88,86.85,90.65,136.6,78.32,1094.6
2010-02-24,85.5,86.45,91.3,135.5,78,1105.24
2010-02-25,92.3,84.6,90.05,133,77.32,1102.94
2010-02-26,96.4,85.05,91.75,134.5,78,1104.49
2010-03-01,98.5,90.65,91.7,137.9,80.2,1115.71
2010-03-02,98,92.95,92.2,138.7,80.84,1118.31
2010-03-03,101,92.9,90.55,140.5,81.98,1118.79
2010-03-04,100.8,89.9,90.85,140.4,81.62,1122.97
2010-03-05,102.5,92,92.35,143.2,82.82,1138.7
2010-03-08,101.6,92.05,73.5,143.8,81.9,1138.5
2010-03-09,101.2,91.8,71.5,143.3,81,1140.45
2010-03-10,103,91.85,72.05,144.6,81.52,1145.61
2010-03-11,104,91.9,72.2,146.5,79.6,1150.24
2010-03-12,104.5,93.8,71.85,147,74.36,1149.99
2010-03-15,104.9,93.8,72.2,147.8,73.6,1150.51
2010-03-16,104.1,95.2,71.85,149,73.98,1159.46
2010-03-17,102,95.1,71.5,147,73.8,1166.21
2010-03-18,102.8,95.3,71.2,146.5,77.1,1165.83
2010-03-19,103.6,96.75,71.75,148.5,76.78,1159.9
2010-03-22,103,96.65,71.75,145,76.42,1165.81
2010-03-23,99.3,98.1,72,147.7,75.46,1174.17
2010-03-24,99.8,98.5,72.55,146.4,74.14,1167.72
2010-03-25,100.9,98.75,71.9,147.4,75.84,1165.73
2010-03-26,101.1,98.5,71.15,147.3,77.16,1166.59
2010-03-29,100,98.65,70.15,147,77.8,1173.22
2010-03-30,100,97.7,68.5,148.4,78,1173.27
2010-03-31,101.8,98.5,69.35,147.8,78,1169.43
2010-04-06,101.8,99.95,70.25,149,76.64,1189.44
2010-04-07,103,100.6,70.5,149.1,76.62,1182.45
2010-04-08,103,98.75,69.05,150.1,76.9,1186.44
2010-04-09,103.6,101.5,68.8,152.9,76.8,1194.37
2010-04-12,103.5,103.1,68.5,156,76.72,1196.48
2010-04-13,105.8,102.3,67.8,153,75.92,1197.3
2010-04-14,105.1,104.8,67.65,155.4,76.02,1210.65
2010-04-15,104.8,107.5,65.9,155.1,76.8,1211.67
2010-04-16,105.1,104,67.35,155.6,79.2,1192.13
2010-04-19,104.4,104.6,66.8,152.9,78.8,1197.52
2010-04-20,107.9,104.6,69,154.5,81.48,1207.17
2010-04-22,107,103.4,67.75,153.8,79.12,1208.67
2010-04-23,108.4,106.7,66.9,158,79.98,1217.28
2010-04-26,107,108.2,66.75,160.8,79.92,1212.05
2010-04-27,110,106.8,65.75,158,78.88,1183.71
2010-04-28,106,102,63,159,77.26,1191.36
2010-04-29,108,100.7,61.7,164.6,76.74,1206.78
2010-05-03,107,99.8,61.35,164.5,75.86,1202.26
2010-05-04,104,97,58.7,160,76.68,1173.6
2010-05-05,102.6,96.2,57,151,74.3,1165.87
2010-05-06,102.2,96.35,52.45,141.9,74.22,1128.15
2010-05-07,96.9,91.7,46.5,138.3,71.68,1110.88
2010-05-10,103,95.75,54.45,153,74.44,1159.73
2010-05-11,101,95.3,52.45,145.9,74.14,1155.79
2010-05-12,102,97.5,50.05,147.5,76,1171.67
2010-05-14,102,97.5,50.05,147.5,76,1135.68
2010-05-17,99.2,93.95,47.23,143.8,78.6,1136.94
