"Date","Vestas","Genmab","NovoNordisk","USD","NOK","C20index","SP500"
2010-01-04,66.4,92,67.6,5.17,0.9,347.85,1132.99
2010-01-05,64.38,89.6,66.78,5.15,0.91,345.14,1136.52
2010-01-06,63.58,88.75,67.5,5.19,0.91,346.37,1137.14
2010-01-07,64.1,88,67.12,5.2,0.91,351.28,1141.69
2010-01-08,63.8,89,68,5.21,0.91,353.23,1144.98
2010-01-11,65.8,89.9,70,5.12,0.91,359.54,1146.98
2010-01-12,63.4,89.6,69.2,5.14,0.91,356.73,1136.22
2010-01-13,65.4,89.4,69.28,5.11,0.91,356.53,1145.68
2010-01-14,66.8,91.25,70.2,5.14,0.91,361.79,1148.46
2010-01-15,66,97.5,68.7,5.18,0.91,359.27,1136.03
2010-01-18,65.8,104,68.2,5.18,0.91,359.95,1143.13
2010-01-19,65.54,99.75,69.8,5.21,0.91,360.47,1150.23
2010-01-20,61.7,99.05,70.8,5.27,0.92,356.31,1138.04
2010-01-21,60.8,96,68.52,5.29,0.91,349.69,1116.48
2010-01-22,59.14,99,68.28,5.27,0.91,346.87,1091.76
2010-01-25,60.4,102.5,69.5,5.26,0.91,349.86,1096.78
2010-01-26,57.8,100.6,72.6,5.29,0.9,348.97,1092.17
2010-01-27,56,99,73.9,5.29,0.91,349.61,1097.5
2010-01-28,55.8,98,73.84,5.32,0.91,350.95,1084.53
2010-01-29,57.8,97.95,73.3,5.33,0.91,354.85,1073.87
2010-02-01,57.2,96.5,74.94,5.35,0.91,358.43,1089.19
2010-02-02,57.2,95,73,5.34,0.91,358.17,1103.32
2010-02-03,57.5,99,76.2,5.32,0.91,360.48,1097.28
2010-02-04,54.4,98.65,75,5.38,0.91,355.92,1063.11
2010-02-05,54.96,97.5,75.54,5.44,0.91,350.75,1066.19
2010-02-08,53.96,93.85,75.22,5.44,0.91,345.43,1056.74
2010-02-09,58.18,93.95,75.06,5.41,0.91,348.74,1070.52
2010-02-10,53.7,92.75,75,5.42,0.92,346.31,1068.13
2010-02-11,54.7,91.45,75.94,5.43,0.92,348.53,1078.47
2010-02-12,54.08,90.75,77.38,5.49,0.92,349.74,1075.51
2010-02-15,53.94,91,78.28,5.47,0.92,350.64,1085.19
2010-02-16,55.2,92.45,78.54,5.45,0.92,354.54,1094.87
2010-02-17,56.82,95.35,78.6,5.42,0.93,357.57,1099.51
2010-02-18,58.04,95.9,78.98,5.49,0.92,358.6,1106.75
2010-02-19,57.92,94.65,79.12,5.51,0.92,358.76,1109.17
2010-02-22,59,93.5,79.04,5.46,0.93,360.99,1108.01
2010-02-23,56.22,90.65,77.8,5.48,0.93,357.44,1094.6
2010-02-24,56.64,91.3,78.2,5.49,0.93,358.05,1105.24
2010-02-25,55.12,90.05,77.4,5.52,0.93,353.95,1102.94
2010-02-26,54,91.75,77.2,5.48,0.93,354.77,1104.49
2010-03-01,53.84,91.7,79,5.5,0.92,361.86,1115.71
2010-03-02,53.36,92.2,79.14,5.49,0.92,364.37,1118.31
2010-03-03,55.88,90.55,79.26,5.46,0.92,368.12,1118.79
2010-03-04,54.32,90.85,79.58,5.45,0.92,364.62,1122.97
2010-03-05,55,92.35,80.82,5.48,0.92,371.1,1138.7
2010-03-08,55.16,73.5,81.64,5.45,0.92,371.38,1138.5
2010-03-09,55.02,71.5,81.64,5.49,0.93,369.55,1140.45
2010-03-10,55.74,72.05,82.6,5.47,0.93,374.02,1145.61
2010-03-11,54.9,72.2,81.88,5.45,0.93,372.06,1150.24
2010-03-12,54.28,71.85,81.68,5.41,0.93,372.34,1149.99
