Date	USD	GBP	SEK	NOK	CNY	
04/01/2010	517.17	834.81	73.01	90.43	75.75	
05/01/2010	515.27	826.42	72.87	90.62	75.47	
06/01/2010	518.52	828.03	73.04	90.87	75.95	
07/01/2010	520.21	827.16	72.87	90.77	76.19	
08/01/2010	521.33	832.89	72.77	91.08	76.36	
11/01/2010	512.19	827.8	72.96	91.42	75.03	
12/01/2010	513.81	829.3	72.79	90.93	75.26	
13/01/2010	510.92	831.71	72.96	90.98	74.84	
14/01/2010	513.62	835.52	73.15	91.14	75.23	
15/01/2010	517.74	844.67	73.37	91.39	75.84	
18/01/2010	517.91	846.14	73.47	91.38	75.86	
19/01/2010	521.19	851.21	73.31	91.33	76.34	
20/01/2010	526.62	856.21	73.56	91.5	77.14	
21/01/2010	529.2	855.47	73.42	91.37	77.52	
22/01/2010	526.75	849.66	72.9	90.85	77.16	
25/01/2010	526.11	848.63	72.94	90.77	77.06	
26/01/2010	528.58	852.51	72.48	90.24	77.43	
27/01/2010	529.06	858.46	72.67	90.58	77.5	
28/01/2010	531.8	864.06	72.97	91.02	77.9	
29/01/2010	533.03	859.07	72.71	90.65	78.08	
01/02/2010	535.14	851.05	73.41	90.84	78.38	
02/02/2010	534.22	852.12	73.55	91.43	78.25	
03/02/2010	532.39	849.69	73.67	91.17	77.99	
04/02/2010	537.63	852.66	73.47	91.13	78.75	
05/02/2010	543.78	852.55	72.7	90.58	79.65	
08/02/2010	544.37	849.7	73.26	91.11	79.74	
09/02/2010	541.05	845.62	73.55	91.32	79.25	
10/02/2010	541.84	846.2	74.2	91.79	79.33	
11/02/2010	542.73	848.46	74.75	91.94	79.41	
12/02/2010	548.52	856.58	75.09	92.33	80.28	
15/02/2010	547.05	857.96	75.34	92.43	80.06	
16/02/2010	545.31	855.03	75.36	92.44	79.81	
17/02/2010	542.29	856.56	75.81	92.97	79.36	
18/02/2010	548.63	855.15	76.02	92.26	80.29	
19/02/2010	550.55	847.42	75.59	91.83	80.57	
