"Date","Price","Open","High","Low","Change %"
"Dec 31, 2019","-0.663","-0.663","-0.663","-0.663","-1.92%"
"Dec 30, 2019","-0.675","-0.679","-0.653","-0.691","-2.53%"
"Dec 27, 2019","-0.693","-0.691","-0.659","-0.710","0.14%"
"Dec 26, 2019","-0.692","-0.686","-0.686","-0.692","0.00%"
"Dec 25, 2019","-0.692","-0.686","-0.686","-0.692","0.00%"
"Dec 24, 2019","-0.692","-0.686","-0.686","-0.692","-0.86%"
"Dec 23, 2019","-0.698","-0.699","-0.682","-0.705","-0.43%"
"Dec 20, 2019","-0.701","-0.688","-0.682","-0.701","0.86%"
"Dec 19, 2019","-0.695","-0.720","-0.678","-0.787","-0.14%"
"Dec 18, 2019","-0.696","-0.714","-0.688","-0.779","-1.97%"
"Dec 17, 2019","-0.710","-0.708","-0.701","-0.771","0.57%"
"Dec 16, 2019","-0.706","-0.712","-0.693","-0.714","-0.49%"
"Dec 13, 2019","-0.710","-0.709","-0.692","-0.747","0.00%"
"Dec 12, 2019","-0.710","-0.735","-0.705","-0.768","-14.72%"
"Dec 11, 2019","-0.832","-0.722","-0.715","-0.832","14.05%"
"Dec 10, 2019","-0.729","-0.715","-0.711","-0.736","0.21%"
"Dec 09, 2019","-0.728","-0.713","-0.708","-0.735","2.82%"
"Dec 06, 2019","-0.708","-0.713","-0.703","-0.729","-1.67%"
"Dec 05, 2019","-0.720","-0.735","-0.705","-0.742","-0.35%"
"Dec 04, 2019","-0.723","-0.726","-0.716","-0.756","-0.21%"
"Dec 03, 2019","-0.724","-0.709","-0.697","-0.743","2.62%"
"Dec 02, 2019","-0.706","-0.727","-0.684","-0.727","-1.47%"
"Nov 29, 2019","-0.716","-0.730","-0.711","-0.732","-1.04%"
"Nov 28, 2019","-0.724","-0.744","-0.711","-0.744","-0.55%"
"Nov 27, 2019","-0.728","-0.735","-0.721","-0.810","0.28%"
"Nov 26, 2019","-0.725","-0.721","-0.719","-0.803","0.28%"
"Nov 25, 2019","-0.724","-0.729","-0.717","-0.732","-0.69%"
"Nov 22, 2019","-0.729","-0.720","-0.712","-0.785","-0.41%"
"Nov 21, 2019","-0.732","-0.740","-0.715","-0.799","-2.86%"
